order,qty,price,amount,Time
d,4,34,136,06-11-2020 10:48
e,5,35,175,06-11-2020 10:48
f,6,46,276,06-11-2020 10:48
a,1,21,21,06-11-2020 10:52
b,2,22,44,06-11-2020 10:52
c,3,23,69,06-11-2020 10:52
a,1,21,21,06-11-2020 10:54
b,2,22,44,06-11-2020 10:54
c,3,23,69,06-11-2020 10:54
d,4,34,136,06-11-2020 10:54
e,5,35,175,06-11-2020 10:54
f,6,46,276,06-11-2020 10:54
d,4,34,136,2020-11-06 20:14:54.164386
e,5,35,175,2020-11-06 20:14:54.164386
f,6,46,276,2020-11-06 20:14:54.164386
a,1,21,21,2020-11-08 02:12:30.966626
b,2,22,44,2020-11-08 02:12:30.966626
c,3,23,69,2020-11-08 02:12:30.966626
a,1,21,21,2020-11-08 02:24:02
b,2,22,44,2020-11-08 02:24:02
c,3,23,69,2020-11-08 02:24:02
Chhole Bhature,1,150,150,2020-11-09 19:10:39
Pindi Chana,1,140,140,2020-11-09 19:10:39
Dhokla,1,100,100,2020-11-09 19:10:39
Chhole Bhature,22,150,3300,2020-11-09 19:30:37
Pindi Chana,5,140,700,2020-11-09 19:30:37
Kadhi,1,120,120,2020-11-09 19:30:37
Pindi Chana,1,140,140,2020-11-12 23:24:56
Dhokla,4,100,400,2020-11-12 23:24:56
Kadhi,6,120,720,2020-11-12 23:24:56
Pindi Chana,1,140,140,2020-11-13 11:30:35
Pindi Chana,1,140,140,2020-11-13 11:30:35
Pindi Chana,1,140,140,2020-11-13 11:30:35
Dhokla,5,100,500,2020-11-13 11:30:35
Hyderabadi Biryani,1,200,200,2020-11-13 11:30:35
Bharwa Bhindi,1,120,120,2020-11-13 11:30:39
Kulche,3,30,90,2020-11-13 11:30:39
Aloo Parantha,2,70,140,2020-11-13 11:30:39
Pindi Chana,1,140,140,2020-11-13 11:30:39
Dhokla,4,100,400,2020-11-13 11:30:39
Kadhi,1,120,120,2020-11-13 11:30:39
Pindi Chana,1,140,140,2020-11-13 11:33:18
Kulche,1,30,30,2020-11-13 11:33:18
Dhokla,1,100,100,2020-11-13 11:33:18
Pindi Chana,1,140,140,2020-11-13 11:33:23
Dhokla,1,100,100,2020-11-13 11:33:23
Kadhi,1,120,120,2020-11-13 11:33:23
Bharwa Bhindi,1,120,120,2020-11-13 11:33:28
Kulche,1,30,30,2020-11-13 11:33:28
Dhokla,1,100,100,2020-11-13 11:33:28
Kadhi,1,120,120,2020-11-13 11:33:28
Hyderabadi Biryani,1,200,200,2020-11-13 11:33:28
Bharwa Bhindi,1,120,120,2020-11-13 11:33:33
Kulche,1,30,30,2020-11-13 11:33:33
Kadhi,1,120,120,2020-11-13 11:33:33
Rogan Josh,1,200,200,2020-11-13 11:33:33
Bharwa Bhindi,1,120,120,2020-11-13 11:33:37
Kadhi,1,120,120,2020-11-13 11:33:37
Rogan Josh,1,200,200,2020-11-13 11:33:37
Bharwa Bhindi,1,120,120,2020-11-13 11:33:41
Kadhi,1,120,120,2020-11-13 11:33:41
Hyderabadi Biryani,1,200,200,2020-11-13 11:33:41
Rogan Josh,1,200,200,2020-11-13 11:33:41
Chhole Bhature,1,150,150,2020-11-16 01:46:07
Bharwa Bhindi,1,120,120,2020-11-16 01:46:07
Pindi Chana,1,140,140,2020-11-16 01:46:07
Kulche,1,30,30,2020-11-16 01:46:07
Dhokla,1,100,100,2020-11-16 01:46:07
Aloo Parantha,1,70,70,2020-11-16 01:46:07
Kadhi,1,120,120,2020-11-16 01:46:07
Hyderabadi Biryani,1,200,200,2020-11-16 01:46:07
Rogan Josh,1,200,200,2020-11-16 01:46:07
Pindi Chana,1,140,140,2020-11-16 01:46:07
Chhole Bhature,1,150,150,2020-11-16 01:47:19
Bharwa Bhindi,1,120,120,2020-11-16 01:47:19
Pindi Chana,1,140,140,2020-11-16 01:47:19
Kulche,1,30,30,2020-11-16 01:47:19
Dhokla,1,100,100,2020-11-16 01:47:19
Aloo Parantha,1,70,70,2020-11-16 01:47:19
Kadhi,1,120,120,2020-11-16 01:47:19
Hyderabadi Biryani,1,200,200,2020-11-16 01:47:19
Rogan Josh,1,200,200,2020-11-16 01:47:19
Chhole Bhature,1,150,150,2020-11-16 01:47:19
Pindi Chana,1,140,140,2020-11-16 01:47:19
Dhokla,1,100,100,2020-11-16 01:47:19
Chhole Bhature,1,150,150,2020-11-16 01:50:14
Bharwa Bhindi,1,120,120,2020-11-16 01:50:14
Pindi Chana,1,140,140,2020-11-16 01:50:14
Kulche,1,30,30,2020-11-16 01:50:14
Dhokla,1,100,100,2020-11-16 01:50:14
Aloo Parantha,1,70,70,2020-11-16 01:50:14
Kadhi,1,120,120,2020-11-16 01:50:14
Hyderabadi Biryani,1,200,200,2020-11-16 01:50:14
Rogan Josh,1,200,200,2020-11-16 01:50:14
Chhole Bhature,1,150,150,2020-11-16 01:50:18
Bharwa Bhindi,1,120,120,2020-11-16 01:50:18
Pindi Chana,1,140,140,2020-11-16 01:50:18
Kulche,1,30,30,2020-11-16 01:50:18
Dhokla,1,100,100,2020-11-16 01:50:18
Aloo Parantha,1,70,70,2020-11-16 01:50:18
Kadhi,1,120,120,2020-11-16 01:50:18
Hyderabadi Biryani,1,200,200,2020-11-16 01:50:18
Rogan Josh,1,200,200,2020-11-16 01:50:18
Pindi Chana,1,140,140,2020-11-16 01:50:18
Dhokla,1,100,100,2020-11-16 01:50:18
Garlic Naan,1,45,45,2020-12-17 22:08:14
Rumali Roti,1,50,50,2020-12-17 22:08:14
Mango Cheesecake,6,220,1320,2020-12-17 22:08:14
